Unnamed: 0,번호,제목,저자,출판사,출판일
,62,Call for Papers: Special Issue on Big Data in Robotics,unknown,Mary Ann Leibert,2016
,63,Big data ensemble clinical prediction for healthcare data by using deep learning model,"Rallapalli, Sreekanth; Gondkar, R.R.",Inderscience,2018
,64,Call for Special Issue Papers: Big Data in Business,"Nobanee, Haitham",Mary Ann Leibert,2019
,65,Using Big Data to Understand the Human Condition: The Kavli Human Project,unknown,Mary Ann Leibert,2015
,66,"Big Data, Little Data, and Care Coordination for Medicare Beneficiaries with Medigap Coverage",unknown,Mary Ann Leibert,2015
,67,Labor Economists Get Their Microscope: Big Data and Labor Market Analysis,unknown,Mary Ann Leibert,2015
,68,Call for Special Issue Papers: Big Data in Business,"Nobanee, Haitham",Mary Ann Leibert,2020
,69,"Deep Learning on Big, Sparse, Behavioral Data","De Cnudde, Sofie; Ramon, Yanou; Martens, David; Provost, Foster",Mary Ann Leibert,2019
,70,National Surveys of Population Health: Big Data Analytics for Mobile Health Monitors,unknown,Mary Ann Leibert,2015
,71,SOOM: Sort-Based Optimizer for Big Data Multi-Query,"Sahal, Radhya; Khafagy, Mohammed H.; Omara, Fatma A.",Mary Ann Leibert,2020
,72,Call for Papers: Special Issue on Big Data in Robotics,unknown,Mary Ann Leibert,2016
,73,Big Data in Healthcare: Opportunities and Challenges,unknown,Mary Ann Leibert,2015
,74,Sorting big data by revealed preference with application to college ranking,"Hu, Xingwei",Springer Nature,2020
,75,Analyzing Big Smart Metering Data Towards Differentiated User Services: A Sublinear Approach,"Pan, E.; Wang, D.; Han, Z.",unknown,2016
,76,A big data analytics framework for border crossing transportation,"Wang, Haibo; Huo, Da; Xu, Yaquan",Inderscience,2017
,77,"Health big data analytics: current perspectives, challenges and potential solutions","Kuo, Mu-Hsing; Sahama, Tony; Kushniruk, Andre W.; Borycki, Elizabeth M.; Grunwell, Daniel K.",Inderscience,2014
,78,Intelligent big data analysis: a review,"Tsai, Chun-Wei; Yang, Ya-Lan; Chiang, Ming-Chao; Yang, Chu-Sing",Inderscience,2014
,79,"Health big data analytics: current perspectives, challenges and potential solutions","Kuo, Mu-Hsing; Sahama, Tony; Kushniruk, Andre W.; Borycki, Elizabeth M.; Grunwell, Daniel K.",Inderscience,2014
,80,"Predictive big data analytics for supply chain demand forecasting: methods, applications, and research opportunities","Seyedan, Mahya",Springer Nature,2020
,81,Agile Big Data Analytics for Web-Based Systems: An Architecture-Centric Approach,"Chen, H.; Kazman, R.; Haziyev, S.",unknown,2016
,82,A Big Data Application for Energy Consumption Management of Commercial Buildings,"Al Muhaysh, Sarah Abdullah;Al Salem, Thanaa Saad;Al Jaafari, Fatimah Abdullah;Hussain, Al Anoud Saleem Al ShaikhKhwaja, Amir Ali",IGI Publishing,2021
,83,Clustering Big Spatiotemporal-Interval Data,"Shao, W.; Salim, F. D.; Song, A.; Bouguettaya, A.",unknown,2016
,84,Leveraging Big Data analytics - case of Kenyan telecoms,"Moturi, Christopher A.; Karuga, Esther W.; Orwa, Daniel O.",Inderscience,2021
,85,Intelligent big data analysis: a review,"Tsai, Chun-Wei; Yang, Ya-Lan; Chiang, Ming-Chao; Yang, Chu-Sing",Inderscience,2015
,86,Scalable big data modelling,"Patel, Jayesh",Inderscience,2021
,87,Improved big data stock index prediction using deep learning with CNN and GRU,"Eapen, Jithin; Verma, Abhishek; Bein, Doina",Inderscience,2021
,88,Analyzing Bangkok city taxi ride: reforming fares for profit sustainability using big data driven model,"Phiboonbanakit, Thananut",Springer Nature,2021
,89,Impact of rail transit station proximity to commercial property prices: utilizing big data in urban real estate,"Berawi, Mohammed Ali",Springer Nature,2020
,90,Sleep stage classification using extreme learning machine and particle swarm optimization for healthcare big data,"Surantha, Nico",Springer Nature,2021
,91,Correction to: Cooperative co‑evolution for feature selection in Big Data with random feature grouping,"Rashid, A. N. M. Bazlur",Springer Nature,2020
,92,Predictors of outpatients' no-show: big data analytics using apache spark,"Daghistani, Tahani",Springer Nature,2020
,93,Cooperative co-evolution for feature selection in Big Data with random feature grouping,"Rashid, A. N. M. Bazlur",Springer Nature,2020
,94,A survey and analysis of intrusion detection models based on CSE-CIC-IDS2018 Big Data,"Leevy, Joffrey L.",Springer Nature,2020
,95,CoPart: a context-based partitioning technique for big data,"Migliorini, Sara",Springer Nature,2021
,96,Guest Editorial: Big Data Analytics and the Web,"Sheng, Q. Z.; Vasilakos, A. V.; Yu, Q.; Yao, L.",unknown,2015
,97,Anomaly detection optimization using big data and deep learning to reduce false-positive,"Al Jallad, Khloud",Springer Nature,2020
,98,Application of big data analytics and organizational performance: the mediating role of knowledge management practices,"Shabbir, Muhammad Qasim",Springer Nature,2020
,99,Predictive analytics using big data for increased customer loyalty: Syriatel Telecom Company case study,"Wassouf, Wissam Nazeer",Springer Nature,2020
,100,Mitigating Bias in Big Data for Transportation,"Griffin, Greg P.",Springer Nature,2020
,1,Call for Special Issue Papers: Soft Computing Models for Big Data and Internet of Things,"Chilamkurti, Naveen; Paul, Anand; Kumar, Akshi",Mary Ann Leibert,2020
,2,Atmospheric and ecosystem big data providing key contributions in reaching United Nations' Sustainable Development Goals,"Kulmala, Markku; Lintunen, Anna; Ylivinkka, Ilona; Mukkala, Janne; Rantanen, Rosa; Kujansuu, Joni; Petäjä, Tuukka; Lappalainen, Hanna K.",John Wiley & Sons Ltd,2021
,3,Earth observation and geospatial big data management and engagement of stakeholders in Hungary to support the SDGs,"Mihály, Szabolcs; Remetey-Fülöpp, Gábor; Kristóf, Dániel; Czinkóczky, Anna; Palya, Tamás; Pásztor, László; Rudan, Pál; Szabó, György; Zentai, László",John Wiley & Sons Ltd,2021
,4,Call for Special Issue Papers: Big Data Analytics for Agricultural Disaster Management,"Balamurugan, S.; Muthu, Bala Anand; Peng, Sheng-Lung; Wahab, Mohd Helmy Abd",Mary Ann Leibert,2020
,5,Call for Special Issue Papers: Big Data Analytics for Agricultural Disaster Management,"Balamurugan, S.; Muthu, Bala Anand; Peng, Sheng-Lung; Wahab, Mohd Helmy Abd",Mary Ann Leibert,2020
,6,A Novel Big Data Approach for Record and Represent Compliance in the Covid-19 Era,"Giacalone, M.","Elsevier Science B.V., Amsterdam",2022
,7,Big Data 2.0: Cataclysm or Catalyst?,unknown,Mary Ann Leibert,2014
,8,Curating Big Data Made Simple: Perspectives from Scientific Communities,unknown,Mary Ann Leibert,2014
,9,The Uses of Big Data in Cities,unknown,Mary Ann Leibert,2014
,10,Towards quantifying psychiatric diagnosis using machine learning algorithms and big fMRI data,"Saeed, Fahad",Springer Nature,2018
,11,STGI：a spatio-temporal grid index model for marine big data,"Qu, Tengteng; Wang, Lizhe; Yu, Jian; Yan, Jining; Xu, Guilin; Li, Meng; Cheng, Chengqi; Hou, Kaihua; Chen, Bo",John Wiley & Sons Ltd,2020
,12,Why Big Data = Big Deal,unknown,Mary Ann Leibert,2014
,13,Optimizing Sentinel-2 image selection in a Big Data context,"Kempeneers, P.; Soille, P.",John Wiley & Sons Ltd,2017
,14,Furthest-Pair-Based Binary Search Tree for Speeding Big Data Classification Using K-Nearest Neighbors,"Hassanat, A. B. A.",Mary Ann Leibert,2018
,15,Big Data and Predictive Analytics in Health Care,unknown,Mary Ann Leibert,2014
,16,Big Data for Social Good,unknown,Mary Ann Leibert,2015
,17,Can Big Data Machines Analyze Stock Market Sentiment?,unknown,Mary Ann Leibert,2014
,18,Big Data Literature Search,unknown,Mary Ann Leibert,2014
,19,A Big Data Guide to Understanding Climate Change: The Case for Theory-Guided Data Science,unknown,Mary Ann Leibert,2014
,20,Common Big Data Challenges and How to Overcome Them,unknown,Mary Ann Leibert,2014
,21,TV Audience Measurement with Big Data,unknown,Mary Ann Leibert,2014
,22,The U.S. Army Person-Event Data Environment: A MilitaryÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“Civilian Big Data Enterprise,unknown,Mary Ann Leibert,2015
,23,"Comparative study of big data of global adakites and mineralization-related granite in the Geza arc metallogenic belt, northwest Yunnan, Southwest China","Xuelong, Liu; Wenchang, Li; Qi, Zhang; Na, Zhang; Changzhen, Zhang; Ying, Luo; Shuaishuai, Wang; Fucheng, Yang; Jianhang, Chen; Zhenhuan, Li",John Wiley & Sons Ltd,2018
,24,A new big data approach based on geoecological information-modeling system,"Varotsos, Costas A.; Krapivin, Vladimir F.",John Wiley & Sons Ltd,2017
,25,Big data actionable intelligence architecture,"Ma, Tian J.",Springer Nature,2020
,26,Exploring relationships between medical college rankings and performance with big data,"Rao, A.",Springer Nature,2019
,27,Evaluating associative classification algorithms for Big Data,"Padillo, Francisco",Springer Nature,2019
,28,Study on the use of different quality measures within a multi-objective evolutionary algorithm approach for emerging pattern mining in big data environments,"García-Vico, Ángel",Springer Nature,2019
,29,Big Data for the Social Good: The Drought Early-Warning Experience Report,"Tamburri, Damian A.",unknown,2022
,30,A GIS-based analytical framework for evaluating the effect of COVID-19 on the restaurant industry with big data,"Wang, Siqin",John Wiley & Sons Ltd,2023
,31,Recent advance in earth observation big data for hydrology,"Chen, Lajiao; Wang, Lizhe",John Wiley & Sons Ltd,2018
,32,Big Data architecture for intelligent maintenance: a focus on query processing and machine learning algorithms,"Lehmann, Claude",Springer Nature,2020
,33,XDataExplorer: A Three-Stage Comprehensive Self-Tuning Tool for Big Data Platforms,"Guo, Qing","Elsevier Science B.V., Amsterdam",2022
,34,New discrimination diagrams for basalts based on big data research,"Zhang, Qi; Sun, Weidong; Zhao, Yong; Yuan, Fanglin; Jiao, Shoutao; Chen, Wanfeng",John Wiley & Sons Ltd,2019
,35,Big uncertain data of multiple sensors efficient processing with high order multi-hypothesis: an evidence theoretic approach,"Jafari, Hossein; Li, Xiangfang; Qian, Lijun; Aved, Alexander J.; Kroecker, Timothy S.",Inderscience,2018
,36,A comparison on scalability for batch big data processing on Apache Spark and Apache Flink,"García-Gil, Diego; Ramírez-Gallego, Sergio; García, Salvador; Herrera, Francisco",Springer Nature,2017
,37,Data behaviours model for Big Data visual analytics,"Zhang, Jinson; Huang, Mao Lin",Inderscience,2016
,38,"Big Data, 3D Printing Technology, and Industry of the Future","Alabi, Micheal Omotayo",IGI Publising,2017
,39,A Big Data Framework to Address Building Sum Insured Misestimation,"Roberts, Callum","Elsevier Science B.V., Amsterdam",2023
,40,Does Medical School Training Relate to Practice? Evidence from Big Data,unknown,Mary Ann Leibert,2015
,41,Big Data and the Rise of Machines in Financial Markets,unknown,Mary Ann Leibert,2014
,42,Big data (lost) in the cloud,"Di Martino, Beniamino; Aversa, Rocco; Cretella, Giuseppina; Esposito, Antonio; Kołodziej, Joanna",Inderscience,2014
,43,Big Data As an Enabler of Primary Education,unknown,Mary Ann Leibert,2016
,44,Big Data Analytics and Visualization in Traffic Monitoring,"Bachechi, Chiara","Elsevier Science B.V., Amsterdam",2022
,45,Corrigendum to High Frequency Analysis of Macro News Releases on the Foreign Exchange Market: A Survey of Literature [Big Data Res. 2 (1) (2015) 33–48],"Li, Wei","Elsevier Science B.V., Amsterdam",2022
,46,Unsupervised Tensor Mining for Big Data Practitioners,unknown,Mary Ann Leibert,2016
,47,An Exercise in Exploring Big Data for Producing Reliable Statistical Information,unknown,Mary Ann Leibert,2016
,48,Big data (lost) in the cloud,"Di Martino, Beniamino; Aversa, Rocco; Cretella, Giuseppina; Esposito, Antonio; Kołodziej, Joanna",Inderscience,2014
,49,Towards Efficient Energy Utilization Using Big Data Analytics in Smart Cities for Electricity Theft Detection,"Arif, Arooj","Elsevier Science B.V., Amsterdam",2022
,50,Big data and analytics: a data management perspective in public administration,"Mittal, Prabhat",Inderscience,2020
,51,Big Data in Forecasting Research: A Literature Review,"Tang, Ling","Elsevier Science B.V., Amsterdam",2022
,52,Strength in Numbers: Using Big Data to Simplify Sentiment Classification,unknown,Mary Ann Leibert,2017
,53,A Message from the Editor-in-Chief of Big Data,unknown,Mary Ann Leibert,2017
,54,Research Dilemmas with Behavioral Big Data,unknown,Mary Ann Leibert,2017
,55,Call for Papers: Special Issue on Computational Propaganda and Political Big Data,unknown,Mary Ann Leibert,2017
,56,Fine Clustering Analysis of Internet Financial Credit Investigation Based on Big Data,"Sun, Jingqi","Elsevier Science B.V., Amsterdam",2022
,57,Call for Papers: Special Issue on Computational Propaganda and Political Big Data,unknown,Mary Ann Leibert,2017
,58,Correction to: Big Data 2016;4:60–66,unknown,Mary Ann Leibert,2016
,59,Big Data on Robotics,unknown,Mary Ann Leibert,2016
,60,Combining Human Computing and Machine Learning to Make Sense of Big (Aerial) Data for Disaster Response,unknown,Mary Ann Leibert,2016
,61,"Interview with Dr. Silvio Carta, Author of the Book Big Data, Code and the Discrete City (Routledge 2019)","Carta, Silvio",Mary Ann Leibert,2019
,62,Call for Papers: Special Issue on Big Data in Robotics,unknown,Mary Ann Leibert,2016
,63,Big data ensemble clinical prediction for healthcare data by using deep learning model,"Rallapalli, Sreekanth; Gondkar, R.R.",Inderscience,2018
,64,Call for Special Issue Papers: Big Data in Business,"Nobanee, Haitham",Mary Ann Leibert,2019
,65,Using Big Data to Understand the Human Condition: The Kavli Human Project,unknown,Mary Ann Leibert,2015
,66,"Big Data, Little Data, and Care Coordination for Medicare Beneficiaries with Medigap Coverage",unknown,Mary Ann Leibert,2015
,67,Labor Economists Get Their Microscope: Big Data and Labor Market Analysis,unknown,Mary Ann Leibert,2015
,68,Call for Special Issue Papers: Big Data in Business,"Nobanee, Haitham",Mary Ann Leibert,2020
,69,"Deep Learning on Big, Sparse, Behavioral Data","De Cnudde, Sofie; Ramon, Yanou; Martens, David; Provost, Foster",Mary Ann Leibert,2019
,70,National Surveys of Population Health: Big Data Analytics for Mobile Health Monitors,unknown,Mary Ann Leibert,2015
,71,SOOM: Sort-Based Optimizer for Big Data Multi-Query,"Sahal, Radhya; Khafagy, Mohammed H.; Omara, Fatma A.",Mary Ann Leibert,2020
,72,Call for Papers: Special Issue on Big Data in Robotics,unknown,Mary Ann Leibert,2016
,73,Big Data in Healthcare: Opportunities and Challenges,unknown,Mary Ann Leibert,2015
,74,Sorting big data by revealed preference with application to college ranking,"Hu, Xingwei",Springer Nature,2020
,75,Analyzing Big Smart Metering Data Towards Differentiated User Services: A Sublinear Approach,"Pan, E.; Wang, D.; Han, Z.",unknown,2016
,76,A big data analytics framework for border crossing transportation,"Wang, Haibo; Huo, Da; Xu, Yaquan",Inderscience,2017
,77,"Health big data analytics: current perspectives, challenges and potential solutions","Kuo, Mu-Hsing; Sahama, Tony; Kushniruk, Andre W.; Borycki, Elizabeth M.; Grunwell, Daniel K.",Inderscience,2014
,78,Intelligent big data analysis: a review,"Tsai, Chun-Wei; Yang, Ya-Lan; Chiang, Ming-Chao; Yang, Chu-Sing",Inderscience,2014
,79,"Health big data analytics: current perspectives, challenges and potential solutions","Kuo, Mu-Hsing; Sahama, Tony; Kushniruk, Andre W.; Borycki, Elizabeth M.; Grunwell, Daniel K.",Inderscience,2014
,80,"Predictive big data analytics for supply chain demand forecasting: methods, applications, and research opportunities","Seyedan, Mahya",Springer Nature,2020
,81,Agile Big Data Analytics for Web-Based Systems: An Architecture-Centric Approach,"Chen, H.; Kazman, R.; Haziyev, S.",unknown,2016
,82,A Big Data Application for Energy Consumption Management of Commercial Buildings,"Al Muhaysh, Sarah Abdullah;Al Salem, Thanaa Saad;Al Jaafari, Fatimah Abdullah;Hussain, Al Anoud Saleem Al ShaikhKhwaja, Amir Ali",IGI Publishing,2021
,83,Clustering Big Spatiotemporal-Interval Data,"Shao, W.; Salim, F. D.; Song, A.; Bouguettaya, A.",unknown,2016
,84,Leveraging Big Data analytics - case of Kenyan telecoms,"Moturi, Christopher A.; Karuga, Esther W.; Orwa, Daniel O.",Inderscience,2021
,85,Intelligent big data analysis: a review,"Tsai, Chun-Wei; Yang, Ya-Lan; Chiang, Ming-Chao; Yang, Chu-Sing",Inderscience,2015
,86,Scalable big data modelling,"Patel, Jayesh",Inderscience,2021
,87,Improved big data stock index prediction using deep learning with CNN and GRU,"Eapen, Jithin; Verma, Abhishek; Bein, Doina",Inderscience,2021
,88,Analyzing Bangkok city taxi ride: reforming fares for profit sustainability using big data driven model,"Phiboonbanakit, Thananut",Springer Nature,2021
,89,Impact of rail transit station proximity to commercial property prices: utilizing big data in urban real estate,"Berawi, Mohammed Ali",Springer Nature,2020
,90,Sleep stage classification using extreme learning machine and particle swarm optimization for healthcare big data,"Surantha, Nico",Springer Nature,2021
,91,Correction to: Cooperative co‑evolution for feature selection in Big Data with random feature grouping,"Rashid, A. N. M. Bazlur",Springer Nature,2020
,92,Predictors of outpatients' no-show: big data analytics using apache spark,"Daghistani, Tahani",Springer Nature,2020
,93,Cooperative co-evolution for feature selection in Big Data with random feature grouping,"Rashid, A. N. M. Bazlur",Springer Nature,2020
,94,A survey and analysis of intrusion detection models based on CSE-CIC-IDS2018 Big Data,"Leevy, Joffrey L.",Springer Nature,2020
,95,CoPart: a context-based partitioning technique for big data,"Migliorini, Sara",Springer Nature,2021
,96,Guest Editorial: Big Data Analytics and the Web,"Sheng, Q. Z.; Vasilakos, A. V.; Yu, Q.; Yao, L.",unknown,2015
,97,Anomaly detection optimization using big data and deep learning to reduce false-positive,"Al Jallad, Khloud",Springer Nature,2020
,98,Application of big data analytics and organizational performance: the mediating role of knowledge management practices,"Shabbir, Muhammad Qasim",Springer Nature,2020
,99,Predictive analytics using big data for increased customer loyalty: Syriatel Telecom Company case study,"Wassouf, Wissam Nazeer",Springer Nature,2020
,100,Mitigating Bias in Big Data for Transportation,"Griffin, Greg P.",Springer Nature,2020
,1,Call for Special Issue Papers: Soft Computing Models for Big Data and Internet of Things,"Chilamkurti, Naveen; Paul, Anand; Kumar, Akshi",Mary Ann Leibert,2020
,2,Atmospheric and ecosystem big data providing key contributions in reaching United Nations' Sustainable Development Goals,"Kulmala, Markku; Lintunen, Anna; Ylivinkka, Ilona; Mukkala, Janne; Rantanen, Rosa; Kujansuu, Joni; Petäjä, Tuukka; Lappalainen, Hanna K.",John Wiley & Sons Ltd,2021
,3,Earth observation and geospatial big data management and engagement of stakeholders in Hungary to support the SDGs,"Mihály, Szabolcs; Remetey-Fülöpp, Gábor; Kristóf, Dániel; Czinkóczky, Anna; Palya, Tamás; Pásztor, László; Rudan, Pál; Szabó, György; Zentai, László",John Wiley & Sons Ltd,2021
,4,Call for Special Issue Papers: Big Data Analytics for Agricultural Disaster Management,"Balamurugan, S.; Muthu, Bala Anand; Peng, Sheng-Lung; Wahab, Mohd Helmy Abd",Mary Ann Leibert,2020
,5,Call for Special Issue Papers: Big Data Analytics for Agricultural Disaster Management,"Balamurugan, S.; Muthu, Bala Anand; Peng, Sheng-Lung; Wahab, Mohd Helmy Abd",Mary Ann Leibert,2020
,6,A Novel Big Data Approach for Record and Represent Compliance in the Covid-19 Era,"Giacalone, M.","Elsevier Science B.V., Amsterdam",2022
,7,Big Data 2.0: Cataclysm or Catalyst?,unknown,Mary Ann Leibert,2014
,8,Curating Big Data Made Simple: Perspectives from Scientific Communities,unknown,Mary Ann Leibert,2014
,9,The Uses of Big Data in Cities,unknown,Mary Ann Leibert,2014
,10,Towards quantifying psychiatric diagnosis using machine learning algorithms and big fMRI data,"Saeed, Fahad",Springer Nature,2018
,11,STGI：a spatio-temporal grid index model for marine big data,"Qu, Tengteng; Wang, Lizhe; Yu, Jian; Yan, Jining; Xu, Guilin; Li, Meng; Cheng, Chengqi; Hou, Kaihua; Chen, Bo",John Wiley & Sons Ltd,2020
,12,Why Big Data = Big Deal,unknown,Mary Ann Leibert,2014
,13,Optimizing Sentinel-2 image selection in a Big Data context,"Kempeneers, P.; Soille, P.",John Wiley & Sons Ltd,2017
,14,Furthest-Pair-Based Binary Search Tree for Speeding Big Data Classification Using K-Nearest Neighbors,"Hassanat, A. B. A.",Mary Ann Leibert,2018
,15,Big Data and Predictive Analytics in Health Care,unknown,Mary Ann Leibert,2014
,16,Big Data for Social Good,unknown,Mary Ann Leibert,2015
,17,Can Big Data Machines Analyze Stock Market Sentiment?,unknown,Mary Ann Leibert,2014
,18,Big Data Literature Search,unknown,Mary Ann Leibert,2014
,19,A Big Data Guide to Understanding Climate Change: The Case for Theory-Guided Data Science,unknown,Mary Ann Leibert,2014
,20,Common Big Data Challenges and How to Overcome Them,unknown,Mary Ann Leibert,2014
,21,TV Audience Measurement with Big Data,unknown,Mary Ann Leibert,2014
,22,The U.S. Army Person-Event Data Environment: A MilitaryÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“Civilian Big Data Enterprise,unknown,Mary Ann Leibert,2015
,23,"Comparative study of big data of global adakites and mineralization-related granite in the Geza arc metallogenic belt, northwest Yunnan, Southwest China","Xuelong, Liu; Wenchang, Li; Qi, Zhang; Na, Zhang; Changzhen, Zhang; Ying, Luo; Shuaishuai, Wang; Fucheng, Yang; Jianhang, Chen; Zhenhuan, Li",John Wiley & Sons Ltd,2018
,24,A new big data approach based on geoecological information-modeling system,"Varotsos, Costas A.; Krapivin, Vladimir F.",John Wiley & Sons Ltd,2017
,25,Big data actionable intelligence architecture,"Ma, Tian J.",Springer Nature,2020
,26,Exploring relationships between medical college rankings and performance with big data,"Rao, A.",Springer Nature,2019
,27,Evaluating associative classification algorithms for Big Data,"Padillo, Francisco",Springer Nature,2019
,28,Study on the use of different quality measures within a multi-objective evolutionary algorithm approach for emerging pattern mining in big data environments,"García-Vico, Ángel",Springer Nature,2019
,29,Big Data for the Social Good: The Drought Early-Warning Experience Report,"Tamburri, Damian A.",unknown,2022
,30,A GIS-based analytical framework for evaluating the effect of COVID-19 on the restaurant industry with big data,"Wang, Siqin",John Wiley & Sons Ltd,2023
,31,Recent advance in earth observation big data for hydrology,"Chen, Lajiao; Wang, Lizhe",John Wiley & Sons Ltd,2018
,32,Big Data architecture for intelligent maintenance: a focus on query processing and machine learning algorithms,"Lehmann, Claude",Springer Nature,2020
,33,XDataExplorer: A Three-Stage Comprehensive Self-Tuning Tool for Big Data Platforms,"Guo, Qing","Elsevier Science B.V., Amsterdam",2022
,34,New discrimination diagrams for basalts based on big data research,"Zhang, Qi; Sun, Weidong; Zhao, Yong; Yuan, Fanglin; Jiao, Shoutao; Chen, Wanfeng",John Wiley & Sons Ltd,2019
,35,Big uncertain data of multiple sensors efficient processing with high order multi-hypothesis: an evidence theoretic approach,"Jafari, Hossein; Li, Xiangfang; Qian, Lijun; Aved, Alexander J.; Kroecker, Timothy S.",Inderscience,2018
,36,A comparison on scalability for batch big data processing on Apache Spark and Apache Flink,"García-Gil, Diego; Ramírez-Gallego, Sergio; García, Salvador; Herrera, Francisco",Springer Nature,2017
,37,Data behaviours model for Big Data visual analytics,"Zhang, Jinson; Huang, Mao Lin",Inderscience,2016
,38,"Big Data, 3D Printing Technology, and Industry of the Future","Alabi, Micheal Omotayo",IGI Publising,2017
,39,A Big Data Framework to Address Building Sum Insured Misestimation,"Roberts, Callum","Elsevier Science B.V., Amsterdam",2023
,40,Does Medical School Training Relate to Practice? Evidence from Big Data,unknown,Mary Ann Leibert,2015
,41,Big Data and the Rise of Machines in Financial Markets,unknown,Mary Ann Leibert,2014
,42,Big data (lost) in the cloud,"Di Martino, Beniamino; Aversa, Rocco; Cretella, Giuseppina; Esposito, Antonio; Kołodziej, Joanna",Inderscience,2014
,43,Big Data As an Enabler of Primary Education,unknown,Mary Ann Leibert,2016
,44,Big Data Analytics and Visualization in Traffic Monitoring,"Bachechi, Chiara","Elsevier Science B.V., Amsterdam",2022
,45,Corrigendum to High Frequency Analysis of Macro News Releases on the Foreign Exchange Market: A Survey of Literature [Big Data Res. 2 (1) (2015) 33–48],"Li, Wei","Elsevier Science B.V., Amsterdam",2022
,46,Unsupervised Tensor Mining for Big Data Practitioners,unknown,Mary Ann Leibert,2016
,47,An Exercise in Exploring Big Data for Producing Reliable Statistical Information,unknown,Mary Ann Leibert,2016
,48,Big data (lost) in the cloud,"Di Martino, Beniamino; Aversa, Rocco; Cretella, Giuseppina; Esposito, Antonio; Kołodziej, Joanna",Inderscience,2014
,49,Towards Efficient Energy Utilization Using Big Data Analytics in Smart Cities for Electricity Theft Detection,"Arif, Arooj","Elsevier Science B.V., Amsterdam",2022
,50,Big data and analytics: a data management perspective in public administration,"Mittal, Prabhat",Inderscience,2020
,51,Big Data in Forecasting Research: A Literature Review,"Tang, Ling","Elsevier Science B.V., Amsterdam",2022
,52,Strength in Numbers: Using Big Data to Simplify Sentiment Classification,unknown,Mary Ann Leibert,2017
,53,A Message from the Editor-in-Chief of Big Data,unknown,Mary Ann Leibert,2017
,54,Research Dilemmas with Behavioral Big Data,unknown,Mary Ann Leibert,2017
,55,Call for Papers: Special Issue on Computational Propaganda and Political Big Data,unknown,Mary Ann Leibert,2017
,56,Fine Clustering Analysis of Internet Financial Credit Investigation Based on Big Data,"Sun, Jingqi","Elsevier Science B.V., Amsterdam",2022
,57,Call for Papers: Special Issue on Computational Propaganda and Political Big Data,unknown,Mary Ann Leibert,2017
,58,Correction to: Big Data 2016;4:60–66,unknown,Mary Ann Leibert,2016
,59,Big Data on Robotics,unknown,Mary Ann Leibert,2016
,60,Combining Human Computing and Machine Learning to Make Sense of Big (Aerial) Data for Disaster Response,unknown,Mary Ann Leibert,2016
,61,"Interview with Dr. Silvio Carta, Author of the Book Big Data, Code and the Discrete City (Routledge 2019)","Carta, Silvio",Mary Ann Leibert,2019
,62,Call for Papers: Special Issue on Big Data in Robotics,unknown,Mary Ann Leibert,2016
,63,Big data ensemble clinical prediction for healthcare data by using deep learning model,"Rallapalli, Sreekanth; Gondkar, R.R.",Inderscience,2018
,64,Call for Special Issue Papers: Big Data in Business,"Nobanee, Haitham",Mary Ann Leibert,2019
,65,Using Big Data to Understand the Human Condition: The Kavli Human Project,unknown,Mary Ann Leibert,2015
,66,"Big Data, Little Data, and Care Coordination for Medicare Beneficiaries with Medigap Coverage",unknown,Mary Ann Leibert,2015
,67,Labor Economists Get Their Microscope: Big Data and Labor Market Analysis,unknown,Mary Ann Leibert,2015
,68,Call for Special Issue Papers: Big Data in Business,"Nobanee, Haitham",Mary Ann Leibert,2020
,69,"Deep Learning on Big, Sparse, Behavioral Data","De Cnudde, Sofie; Ramon, Yanou; Martens, David; Provost, Foster",Mary Ann Leibert,2019
,70,National Surveys of Population Health: Big Data Analytics for Mobile Health Monitors,unknown,Mary Ann Leibert,2015
,71,SOOM: Sort-Based Optimizer for Big Data Multi-Query,"Sahal, Radhya; Khafagy, Mohammed H.; Omara, Fatma A.",Mary Ann Leibert,2020
,72,Call for Papers: Special Issue on Big Data in Robotics,unknown,Mary Ann Leibert,2016
,73,Big Data in Healthcare: Opportunities and Challenges,unknown,Mary Ann Leibert,2015
,74,Sorting big data by revealed preference with application to college ranking,"Hu, Xingwei",Springer Nature,2020
,75,Analyzing Big Smart Metering Data Towards Differentiated User Services: A Sublinear Approach,"Pan, E.; Wang, D.; Han, Z.",unknown,2016
,76,A big data analytics framework for border crossing transportation,"Wang, Haibo; Huo, Da; Xu, Yaquan",Inderscience,2017
,77,"Health big data analytics: current perspectives, challenges and potential solutions","Kuo, Mu-Hsing; Sahama, Tony; Kushniruk, Andre W.; Borycki, Elizabeth M.; Grunwell, Daniel K.",Inderscience,2014
,78,Intelligent big data analysis: a review,"Tsai, Chun-Wei; Yang, Ya-Lan; Chiang, Ming-Chao; Yang, Chu-Sing",Inderscience,2014
,79,"Health big data analytics: current perspectives, challenges and potential solutions","Kuo, Mu-Hsing; Sahama, Tony; Kushniruk, Andre W.; Borycki, Elizabeth M.; Grunwell, Daniel K.",Inderscience,2014
,80,"Predictive big data analytics for supply chain demand forecasting: methods, applications, and research opportunities","Seyedan, Mahya",Springer Nature,2020
,81,Agile Big Data Analytics for Web-Based Systems: An Architecture-Centric Approach,"Chen, H.; Kazman, R.; Haziyev, S.",unknown,2016
